"state","year","score","median_income","total_pop","poverty_rate","internet_rate","post2020"
"OREGON",2017,217.531072963868,56119,3947954,0.148747427148341,0.826164029597278,0
"PENNSYLVANIA",2017,224.924702323396,56951,12377251,0.131171049209554,0.776459917059449,0
"RHODE ISLAND",2017,223.353442679692,61043,1015923,0.133992438403304,0.804530274641529,0
"SOUTH CAROLINA",2017,213.127835391026,48781,4751345,0.166406985811386,0.730000475603415,0
"SOUTH DAKOTA",2017,221.750122908674,54126,826297,0.139035964066189,0.764978288919395,0
"TENNESSEE",2017,218.952797117684,48708,6436601,0.166603460428882,0.730350731039724,0
"TEXAS",2017,214.87849345961,57051,26794198,0.160160942305495,0.772920482112195,0
"UTAH",2017,225.159172916822,65325,2946717,0.110243365752463,0.843411678824338,0
"VIRGINIA",2017,227.598382221255,68766,8116130,0.111732808616915,0.806946145652613,0
"VERMONT",2017,226.445343411035,57808,600127,0.113549298731768,0.79653431837082,0
"WASHINGTON",2017,223.123408781764,66174,7037413,0.122196892522863,0.849261366543564,0
"WISCONSIN",2017,219.612694271246,56759,5612611,0.123421879763269,0.790582861049299,0
"WEST VIRGINIA",2017,217.316396173819,44061,1784004,0.177740072331676,0.709834058814838,0
"WYOMING",2017,226.83121099577,60938,569412,0.111339416801894,0.799076603673606,0
"ALASKA",2019,204.373572021553,77640,719376,0.106944073752808,0.859382030898455,0
"ALABAMA",2019,211.728520409549,50536,4754288,0.167425490420437,0.768312745965641,0
"ARKANSAS",2019,215.054222154958,47597,2910954,0.170480193091337,0.734883267088115,0
"ARIZONA",2019,215.841230797164,58945,6891224,0.151462788033011,0.844114654715105,0
"CALIFORNIA",2019,216.48126594299,75235,38535926,0.133634832078513,0.869426075794529,0
"COLORADO",2019,224.862437298555,72331,5489133,0.103089686476899,0.880065277055217,0
"CONNECTICUT",2019,224.34981661865,78444,3470087,0.0991750350927801,0.858970224972387,0
"DISTRICT OF COLUMBIA",2019,214.278715504121,86420,659676,0.16241306338263,0.82821939195319,0
"DELAWARE",2019,217.686784683225,68287,930764,0.117537850625937,0.852334843472182,0
"FLORIDA",2019,224.71226131,55660,20481252,0.140151930165207,0.833028558443423,0
"GEORGIA",2019,217.982568037342,58700,10130335,0.150889185796916,0.815862145292192,0
"HAWAII",2019,217.532057714727,81275,1384184,0.0943870179109136,0.851028679389845,0
"IOWA",2019,220.502917093727,60523,3040184,0.114506885109585,0.814414847254742,0
"IDAHO",2019,222.505864271442,55785,1686285,0.131209137245483,0.833151325062539,0
"ILLINOIS",2019,218.172226008408,65886,12474842,0.124881180859846,0.830728163934386,0
"INDIANA",2019,221.812962059612,56303,6461389,0.134335821601207,0.806058856552181,0
"KANSAS",2019,219.133566574447,59597,2826056,0.119508955236556,0.822159760615005,0
"KENTUCKY",2019,220.929888641558,50589,4309501,0.173340254474938,0.788321693883034,0
"LOUISIANA",2019,209.873121958397,49469,4532714,0.192261633979113,0.757673626341408,0
"MASSACHUSETTS",2019,231.091059288799,81215,6615375,0.102936265895735,0.866656962739594,0
"MARYLAND",2019,219.838944928094,84805,5876434,0.0918909324940942,0.867020466133746,0
"MAINE",2019,221.236527103754,57918,1298787,0.117903089575119,0.828702620548256,0
"MICHIGAN",2019,218.266956539571,57144,9741628,0.143561938517874,0.819471766622,0
"MINNESOTA",2019,222.393248950052,71306,5440087,0.0967015784857852,0.853620259489029,0
"MISSOURI",2019,218.00163625009,55461,5922570,0.136772549754583,0.806468446536601,0
"MISSISSIPPI",2019,219.342215016725,45081,2886767,0.202921122487544,0.718750735697586,0
"MONTANA",2019,221.67913092515,54970,1025221,0.131293643029162,0.814532884911574,0
"NORTH CAROLINA",2019,221.280043715178,54602,9984891,0.146981173855578,0.810906467360084,0
"NORTH DAKOTA",2019,221.177007147619,64894,732326,0.106780313685435,0.810113658496742,0
"NEBRASKA",2019,222.362133819339,61439,1859691,0.111082432511638,0.838684310357546,0
"NEW HAMPSHIRE",2019,224.264004126578,76768,1305013,0.0756176375254499,0.881504481831151,0
